created_at,temperatura,pressao,altitude,humidade,chuva
2023-10-21T14:09:28+00:00,26.3,942.98065,602.18903,51.05664,0
2023-10-21T14:09:59+00:00,26.34,942.92267,602.70068,51.63965,0
2023-10-21T14:10:29+00:00,26.47,942.93909,602.55573,51.57324,0
2023-10-21T14:11:00+00:00,26.46,942.93341,602.60577,50.70605,0
2023-10-21T14:11:31+00:00,26.45,942.86792,603.18359,50.78516,0
2023-10-21T14:12:01+00:00,26.45,942.94354,602.51624,50.66895,0
2023-10-21T14:12:32+00:00,26.44,942.95111,602.44965,50.66895,0
2023-10-21T14:13:03+00:00,26.43,942.97107,602.25244,50.65723,0
2023-10-21T14:13:33+00:00,26.41,942.98108,602.18475,51.19824,0
2023-10-21T14:14:04+00:00,26.4,942.95477,602.41711,52.96094,0
2023-10-21T14:14:34+00:00,26.35,942.94922,602.46619,51.00488,0
2023-10-21T14:15:05+00:00,26.25,942.89642,602.93201,51.36328,0
2023-10-21T14:15:36+00:00,26.14,942.88312,603.0498,51.4541,0
2023-10-21T14:16:06+00:00,25.98,942.87756,603.09827,51.30957,0
2023-10-21T14:16:37+00:00,25.86,942.88611,603.02313,52.13574,0
2023-10-21T14:17:08+00:00,25.68,942.90314,602.8728,52.26465,0
2023-10-21T14:17:38+00:00,25.52,942.86938,603.21661,52.375,0
2023-10-21T14:18:09+00:00,25.48,942.90326,602.87177,52.95605,0
2023-10-21T14:18:39+00:00,25.33,942.88251,603.05511,53.3418,0
2023-10-21T14:19:10+00:00,25.25,942.88788,603.00769,53.50391,0
2023-10-21T14:19:41+00:00,25.17,942.84906,603.34985,53.69043,0
2023-10-21T14:20:11+00:00,25.15,942.8869,603.01617,53.90527,0
2023-10-21T14:20:42+00:00,25.01,942.84009,603.42926,54.03809,0
2023-10-21T14:21:13+00:00,25.01,942.8894,602.99384,54.23535,0
2023-10-21T14:21:43+00:00,24.97,942.91553,602.76355,54.34473,0
2023-10-21T14:22:14+00:00,24.99,942.9364,602.57916,54.08203,0
2023-10-21T14:22:45+00:00,24.96,942.87952,603.08124,53.95215,0
2023-10-21T14:23:15+00:00,24.89,942.88971,602.99115,54.15039,0
2023-10-21T14:23:46+00:00,24.88,942.89362,602.95703,53.24316,0
2023-10-21T14:24:17+00:00,24.91,942.88654,603.01941,53.82129,0
2023-10-21T14:24:47+00:00,24.96,942.91992,602.72467,57.78906,0
2023-10-21T14:26:24+00:00,24.97,942.91656,602.75452,54.80371,0
2023-10-21T14:26:55+00:00,25.1,942.9314,602.62341,58.55371,0
2023-10-21T14:27:26+00:00,25.04,942.95734,602.39478,54.14648,0
2023-10-21T14:27:56+00:00,25.04,942.91577,602.76141,54.16797,0
2023-10-21T14:28:27+00:00,25.03,942.93335,602.60632,54.20313,0
2023-10-21T14:28:58+00:00,25.06,942.92047,602.71985,54.6543,0
2023-10-21T14:29:28+00:00,25.06,942.89362,602.95703,54.45898,0
2023-10-21T14:29:59+00:00,25.1,942.88275,603.05298,55.99316,0
2023-10-21T14:30:30+00:00,25.03,942.89282,602.96399,54.99609,0
